"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"95833","1463679","LOUVINO","","1606 BARDSTOWN RD","","LOUISVILLE","KY","40205","FOOD SERVICE","38.2305000","-85.7047000","2019-04-18 00:00:00","94","A","LOUVINO",""
"107549","1463698","POSEY'S KITCHEN","","8503 TERRY RD","","LOUISVILLE","KY","40258","FOOD SERVICE","38.1308000","-85.8743000","2019-04-05 00:00:00","99","","POSEY'S KITCHEN",""
"98774","1463739","LEVY KEC FH7","","937 PHILLIPS LN","","LOUISVILLE","KY","40209","STATIONARY RESTRICTED CONCESSON","38.1951000","-85.7383000","2019-02-25 00:00:00","","","LEVY KEC FH7",""
"98774","1463740","LEVY KEC FH7","","937 PHILLIPS LN","","LOUISVILLE","KY","40209","STATIONARY RESTRICTED CONCESSON","38.1951000","-85.7383000","2019-03-26 00:00:00","","","LEVY KEC FH7",""
"89389","1463743","TROLL PUB UNDER THE BRIDGE","","150 W WASHINGTON ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2569000","-85.7524000","2019-04-08 00:00:00","","","TROLL PUB UNDER THE BRIDGE",""
"104423","1463762","PIC PAC","","9304 BLUE LICK RD","","LOUISVILLE","KY","40229","RETAIL-FOOD  10,001 SQ FT OR OVER","38.1138000","-85.6903000","2019-04-16 00:00:00","90","","PIC PAC",""
"104915","1463777","DONALD'S CATERING","","2222 S 9TH ST","","LOUISVILLE","KY","40210","CATERERS","38.1290000","-85.4630000","2019-04-19 00:00:00","96","A","DONALD'S CATERING",""
"67025","1467468","DISMAS CHARITIES ST ANN","","1515 ALGONQUIN PKWY","","LOUISVILLE","KY","40210","FOOD SERVICE","38.2222000","-85.7802000","2019-05-06 00:00:00","99","A","DISMAS CHARITIES ST ANN",""
"103867","1467503","MI COCINA MEXICAN RESTAURANT","","2060 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40299","FOOD SERVICE","38.2175000","-85.5893000","2019-04-30 00:00:00","","","MI COCINA MEXICAN RESTAURANT",""
"87707","1467521","OUR ANGELS CHILD CARE CENTER II","","6300 W PAGES LN","","LOUISVILLE","KY","40258","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1309000","-85.8722000","2019-05-06 00:00:00","100","A","OUR ANGELS CHILD CARE CENTER II",""
"84372","1467546","EL NOPAL","","5000 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2502000","-85.6237000","2019-05-06 00:00:00","98","A","EL NOPAL",""
"105373","1467550","DRAGON BREATH","","5000 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2467000","-85.6233000","2019-05-06 00:00:00","100","A","DRAGON BREATH",""
"99663","1467578","RECBAR","","10301 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","FOOD SERVICE","38.1957000","-85.5659000","2019-04-25 00:00:00","","","RECBAR",""
